,instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
3768,3769,10,Summer,2011,Jun,22,0,5,1,1,0.72,0.697,0.74,0.2537,40,145,185
3760,3761,10,Summer,2011,Jun,14,0,5,1,1,0.86,0.7727,0.39,0.0,44,121,165
16152,16153,10,Winter,2012,Nov,18,0,6,0,1,0.44,0.4394,0.54,0.1343,103,256,359
16150,16151,10,Winter,2012,Nov,16,0,6,0,1,0.54,0.5152,0.37,0.0,227,378,605
3766,3767,10,Summer,2011,Jun,20,0,5,1,1,0.76,0.7121,0.62,0.1045,53,197,250
3765,3766,10,Summer,2011,Jun,19,0,5,1,1,0.78,0.7424,0.59,0.194,61,245,306
3764,3765,10,Summer,2011,Jun,18,0,5,1,1,0.8,0.7727,0.59,0.2239,96,367,463
3763,3764,10,Summer,2011,Jun,17,0,5,1,1,0.82,0.7727,0.52,0.2239,63,454,517
3762,3763,10,Summer,2011,Jun,16,0,5,1,1,0.82,0.7879,0.56,0.2985,46,239,285
3761,3762,10,Summer,2011,Jun,15,0,5,1,1,0.84,0.7576,0.44,0.1045,49,163,212
3759,3760,10,Summer,2011,Jun,13,0,5,1,1,0.84,0.7576,0.44,0.1045,40,149,189
16153,16154,10,Winter,2012,Nov,19,0,6,0,1,0.46,0.4545,0.51,0.0896,55,228,283
3746,3747,10,Summer,2011,Jun,0,0,5,1,3,0.7,0.6515,0.65,0.2239,8,61,69
9622,9623,10,Spring,2012,Feb,21,0,5,1,2,0.32,0.3333,0.66,0.0896,14,108,122
9624,9625,10,Spring,2012,Feb,23,0,5,1,2,0.3,0.3182,0.7,0.0896,1,64,65
10294,10295,10,Spring,2012,Mar,0,0,6,0,1,0.3,0.2727,0.36,0.3582,9,68,77
10295,10296,10,Spring,2012,Mar,1,0,6,0,1,0.3,0.2879,0.36,0.2537,1,50,51
10296,10297,10,Spring,2012,Mar,2,0,6,0,1,0.26,0.2424,0.41,0.2537,12,30,42
10297,10298,10,Spring,2012,Mar,3,0,6,0,1,0.26,0.2273,0.41,0.2985,0,16,16
10298,10299,10,Spring,2012,Mar,4,0,6,0,1,0.24,0.2121,0.41,0.3582,1,3,4
10299,10300,10,Spring,2012,Mar,5,0,6,0,1,0.22,0.2121,0.42,0.2836,3,7,10
10300,10301,10,Spring,2012,Mar,6,0,6,0,1,0.22,0.2121,0.44,0.2836,1,11,12
10301,10302,10,Spring,2012,Mar,7,0,6,0,1,0.22,0.2121,0.44,0.2537,4,36,40
10302,10303,10,Spring,2012,Mar,8,0,6,0,1,0.22,0.2121,0.44,0.2985,15,96,111
4482,4483,10,Fall,2011,Jul,16,0,0,0,1,0.84,0.7576,0.41,0.2836,128,244,372
4483,4484,10,Fall,2011,Jul,17,0,0,0,1,0.84,0.7424,0.36,0.2239,146,217,363
4484,4485,10,Fall,2011,Jul,18,0,0,0,1,0.82,0.7424,0.43,0.2836,141,222,363
9623,9624,10,Spring,2012,Feb,22,0,5,1,2,0.32,0.3485,0.66,0.0,11,102,113
4485,4486,10,Fall,2011,Jul,19,0,0,0,1,0.8,0.7424,0.49,0.3284,120,183,303
4488,4489,10,Fall,2011,Jul,22,0,0,0,1,0.74,0.697,0.66,0.2239,56,87,143
9617,9618,10,Spring,2012,Feb,16,0,5,1,2,0.34,0.3182,0.42,0.2537,28,240,268
9612,9613,10,Spring,2012,Feb,11,0,5,1,2,0.28,0.2879,0.45,0.1045,19,134,153
9616,9617,10,Spring,2012,Feb,15,0,5,1,2,0.32,0.3333,0.45,0.1343,27,164,191
9615,9616,10,Spring,2012,Feb,14,0,5,1,2,0.32,0.3333,0.39,0.0896,8,138,146
9614,9615,10,Spring,2012,Feb,13,0,5,1,2,0.3,0.3182,0.42,0.0896,22,170,192
9613,9614,10,Spring,2012,Feb,12,0,5,1,2,0.3,0.303,0.42,0.1343,8,168,176
9611,9612,10,Spring,2012,Feb,10,0,5,1,2,0.26,0.2727,0.48,0.1343,5,119,124
9610,9611,10,Spring,2012,Feb,9,0,5,1,1,0.22,0.2273,0.55,0.1642,10,265,275
9608,9609,10,Spring,2012,Feb,7,0,5,1,1,0.2,0.2121,0.59,0.1642,5,225,230
9609,9610,10,Spring,2012,Feb,8,0,5,1,1,0.2,0.2121,0.59,0.1642,1,447,448
9607,9608,10,Spring,2012,Feb,6,0,5,1,1,0.2,0.197,0.59,0.194,3,61,64
4475,4476,10,Fall,2011,Jul,9,0,0,0,1,0.74,0.697,0.66,0.0896,62,107,169
3758,3759,10,Summer,2011,Jun,12,0,5,1,1,0.84,0.7576,0.44,0.1343,40,167,207
3757,3758,10,Summer,2011,Jun,11,0,5,1,1,0.82,0.7576,0.46,0.0,46,107,153
3756,3757,10,Summer,2011,Jun,10,0,5,1,1,0.78,0.7121,0.52,0.0,23,88,111
8872,8873,10,Spring,2012,Jan,13,0,2,1,1,0.42,0.4242,0.38,0.2985,15,163,178
8873,8874,10,Spring,2012,Jan,14,0,2,1,1,0.42,0.4242,0.38,0.2985,10,96,106
8874,8875,10,Spring,2012,Jan,15,0,2,1,1,0.42,0.4242,0.38,0.2985,17,119,136
8875,8876,10,Spring,2012,Jan,16,0,2,1,1,0.42,0.4242,0.38,0.3582,15,225,240
8876,8877,10,Spring,2012,Jan,17,0,2,1,1,0.42,0.4242,0.38,0.2537,14,446,460
8861,8862,10,Spring,2012,Jan,1,0,2,1,2,0.22,0.2424,0.93,0.1045,2,3,5
8878,8879,10,Spring,2012,Jan,19,0,2,1,1,0.38,0.3939,0.46,0.1045,11,270,281
8867,8868,10,Spring,2012,Jan,8,0,2,1,2,0.18,0.197,0.93,0.1642,6,465,471
8866,8867,10,Spring,2012,Jan,7,0,2,1,2,0.18,0.197,0.93,0.1642,3,219,222
8864,8865,10,Spring,2012,Jan,5,0,2,1,1,0.4,0.4091,0.47,0.2239,0,23,23
16135,16136,10,Winter,2012,Nov,1,0,6,0,1,0.3,0.3182,0.81,0.0896,8,68,76
16134,16135,10,Winter,2012,Nov,0,0,6,0,1,0.32,0.3333,0.76,0.0896,16,106,122
8871,8872,10,Spring,2012,Jan,12,0,2,1,1,0.42,0.4242,0.38,0.2985,13,127,140
16136,16137,10,Winter,2012,Nov,2,0,6,0,1,0.32,0.3485,0.81,0.0,2,42,44
1555,1556,10,Spring,2011,Mar,6,0,4,1,3,0.36,0.3333,0.0,0.3284,0,12,12
1556,1557,10,Spring,2011,Mar,7,0,4,1,3,0.38,0.3939,0.0,0.2239,1,36,37
1557,1558,10,Spring,2011,Mar,8,0,4,1,3,0.38,0.3939,0.0,0.2836,1,43,44
1558,1559,10,Spring,2011,Mar,9,0,4,1,3,0.4,0.4091,0.0,0.2239,1,23,24
1559,1560,10,Spring,2011,Mar,10,0,4,1,3,0.4,0.4091,0.0,0.1642,0,17,17
1560,1561,10,Spring,2011,Mar,11,0,4,1,3,0.4,0.4091,0.0,0.2537,6,5,11
1561,1562,10,Spring,2011,Mar,12,0,4,1,3,0.42,0.4242,0.0,0.2239,4,30,34
1562,1563,10,Spring,2011,Mar,13,0,4,1,3,0.42,0.4242,0.0,0.2239,1,11,12
1564,1565,10,Spring,2011,Mar,15,0,4,1,3,0.44,0.4394,0.0,0.2239,3,11,14
1565,1566,10,Spring,2011,Mar,16,0,4,1,3,0.42,0.4242,0.0,0.2537,1,20,21
227,228,10,Spring,2011,Jan,18,0,1,1,1,0.2,0.197,0.4,0.2239,1,154,155
1553,1554,10,Spring,2011,Mar,2,0,4,1,3,0.34,0.3182,0.0,0.2537,0,1,1
1566,1567,10,Spring,2011,Mar,17,0,4,1,2,0.44,0.4394,0.0,0.3881,2,109,111
8870,8871,10,Spring,2012,Jan,11,0,2,1,1,0.42,0.4242,0.38,0.2985,8,93,101
8869,8870,10,Spring,2012,Jan,10,0,2,1,2,0.18,0.197,0.93,0.1642,3,80,83
8868,8869,10,Spring,2012,Jan,9,0,2,1,2,0.18,0.197,0.93,0.1642,11,184,195
3755,3756,10,Summer,2011,Jun,9,0,5,1,1,0.76,0.697,0.55,0.0,37,176,213
3754,3755,10,Summer,2011,Jun,8,0,5,1,1,0.74,0.6818,0.58,0.1343,29,423,452
3753,3754,10,Summer,2011,Jun,7,0,5,1,1,0.72,0.6818,0.66,0.1045,25,242,267
3752,3753,10,Summer,2011,Jun,6,0,5,1,1,0.66,0.6061,0.78,0.0896,10,94,104
3751,3752,10,Summer,2011,Jun,5,0,5,1,1,0.66,0.6061,0.78,0.1642,0,28,28
3750,3751,10,Summer,2011,Jun,4,0,5,1,1,0.66,0.6061,0.78,0.1642,0,4,4
16139,16140,10,Winter,2012,Nov,5,0,6,0,1,0.28,0.3182,0.87,0.0,1,9,10
16137,16138,10,Winter,2012,Nov,3,0,6,0,1,0.3,0.3333,0.81,0.0,9,11,20
3749,3750,10,Summer,2011,Jun,3,0,5,1,1,0.68,0.6364,0.69,0.1642,3,3,6
3748,3749,10,Summer,2011,Jun,2,0,5,1,1,0.68,0.6364,0.69,0.1642,6,7,13
16149,16150,10,Winter,2012,Nov,15,0,6,0,1,0.52,0.5,0.45,0.0,216,351,567
16148,16149,10,Winter,2012,Nov,14,0,6,0,1,0.54,0.5152,0.37,0.0,280,347,627
16147,16148,10,Winter,2012,Nov,13,0,6,0,1,0.52,0.5,0.39,0.0,268,383,651
16146,16147,10,Winter,2012,Nov,12,0,6,0,1,0.48,0.4697,0.48,0.0,258,348,606
14720,14721,10,Fall,2012,Sep,13,0,1,1,1,0.64,0.6212,0.38,0.2239,72,251,323
14719,14720,10,Fall,2012,Sep,12,0,1,1,1,0.64,0.6212,0.44,0.3881,76,256,332
14718,14719,10,Fall,2012,Sep,11,0,1,1,1,0.62,0.6212,0.43,0.2985,69,167,236
14717,14718,10,Fall,2012,Sep,10,0,1,1,1,0.62,0.6212,0.5,0.2836,42,168,210
14716,14717,10,Fall,2012,Sep,9,0,1,1,1,0.6,0.6212,0.53,0.2985,40,321,361
14715,14716,10,Fall,2012,Sep,8,0,1,1,1,0.56,0.5303,0.6,0.2836,33,697,730
16145,16146,10,Winter,2012,Nov,11,0,6,0,1,0.4,0.4091,0.58,0.1045,143,323,466
16144,16145,10,Winter,2012,Nov,10,0,6,0,1,0.4,0.4091,0.58,0.0,86,264,350
16143,16144,10,Winter,2012,Nov,9,0,6,0,1,0.36,0.3485,0.66,0.194,43,216,259
16142,16143,10,Winter,2012,Nov,8,0,6,0,1,0.32,0.3485,0.76,0.0,16,130,146
16141,16142,10,Winter,2012,Nov,7,0,6,0,1,0.26,0.2727,0.87,0.1045,14,57,71
16140,16141,10,Winter,2012,Nov,6,0,6,0,1,0.24,0.2576,0.93,0.0896,5,11,16
16138,16139,10,Winter,2012,Nov,4,0,6,0,1,0.26,0.2727,0.87,0.1045,2,4,6
10303,10304,10,Spring,2012,Mar,9,0,6,0,1,0.24,0.2121,0.41,0.3284,21,127,148
1568,1569,10,Spring,2011,Mar,19,0,4,1,3,0.44,0.4394,0.0,0.5821,5,51,56
4481,4482,10,Fall,2011,Jul,15,0,0,0,1,0.84,0.7424,0.39,0.2836,142,219,361
10306,10307,10,Spring,2012,Mar,12,0,6,0,1,0.3,0.2727,0.33,0.3284,88,241,329
16865,16866,10,Winter,2012,Dec,12,0,1,1,3,0.44,0.4394,1.0,0.2239,23,150,173
16864,16865,10,Winter,2012,Dec,11,0,1,1,3,0.46,0.4545,0.94,0.2239,8,126,134
16863,16864,10,Winter,2012,Dec,10,0,1,1,2,0.44,0.4394,0.94,0.2239,12,121,133
12502,12503,10,Summer,2012,Jun,3,0,0,0,1,0.64,0.6061,0.73,0.1045,6,23,29
12503,12504,10,Summer,2012,Jun,4,0,0,0,1,0.62,0.5909,0.78,0.0896,1,9,10
12505,12506,10,Summer,2012,Jun,6,0,0,0,1,0.62,0.5909,0.73,0.0,3,27,30
12520,12521,10,Summer,2012,Jun,21,0,0,0,1,0.72,0.6818,0.62,0.1642,83,170,253
12519,12520,10,Summer,2012,Jun,20,0,0,0,1,0.76,0.6818,0.48,0.1642,113,250,363
12518,12519,10,Summer,2012,Jun,19,0,0,0,1,0.82,0.7121,0.28,0.2836,115,260,375
12517,12518,10,Summer,2012,Jun,18,0,0,0,1,0.82,0.7273,0.38,0.2239,164,326,490
12516,12517,10,Summer,2012,Jun,17,0,0,0,1,0.82,0.7424,0.41,0.2836,184,337,521
12515,12516,10,Summer,2012,Jun,16,0,0,0,1,0.84,0.7424,0.36,0.2836,173,335,508
16866,16867,10,Winter,2012,Dec,13,0,1,1,3,0.44,0.4394,1.0,0.2239,30,190,220
12514,12515,10,Summer,2012,Jun,15,0,0,0,1,0.84,0.7273,0.3,0.2239,159,316,475
12512,12513,10,Summer,2012,Jun,13,0,0,0,1,0.84,0.7273,0.28,0.1343,204,288,492
12511,12512,10,Summer,2012,Jun,12,0,0,0,1,0.82,0.7121,0.3,0.0,173,329,502
12510,12511,10,Summer,2012,Jun,11,0,0,0,1,0.76,0.6818,0.45,0.0896,184,315,499
12509,12510,10,Summer,2012,Jun,10,0,0,0,1,0.76,0.6818,0.4,0.1045,148,265,413
12508,12509,10,Summer,2012,Jun,9,0,0,0,1,0.7,0.6515,0.58,0.0,91,175,266
12507,12508,10,Summer,2012,Jun,8,0,0,0,1,0.64,0.6061,0.73,0.0896,59,122,181
12506,12507,10,Summer,2012,Jun,7,0,0,0,1,0.6,0.5758,0.78,0.1045,21,41,62
12504,12505,10,Summer,2012,Jun,5,0,0,0,1,0.62,0.6061,0.69,0.0896,3,10,13
911,912,10,Spring,2011,Feb,12,0,4,1,1,0.16,0.1364,0.34,0.3881,4,65,69
3747,3748,10,Summer,2011,Jun,1,0,5,1,3,0.7,0.6515,0.65,0.2239,5,18,23
3769,3770,10,Summer,2011,Jun,23,0,5,1,1,0.72,0.697,0.74,0.1642,36,110,146
8126,8127,10,Winter,2011,Dec,6,0,6,0,1,0.24,0.2576,0.65,0.1045,1,10,11
12513,12514,10,Summer,2012,Jun,14,0,0,0,1,0.84,0.7273,0.3,0.1343,186,314,500
8127,8128,10,Winter,2011,Dec,7,0,6,0,1,0.24,0.2273,0.65,0.194,0,11,11
12522,12523,10,Summer,2012,Jun,23,0,0,0,1,0.72,0.6667,0.58,0.1045,30,80,110
12499,12500,10,Summer,2012,Jun,0,0,0,0,1,0.66,0.6212,0.69,0.1045,33,125,158
16859,16860,10,Winter,2012,Dec,6,0,1,1,2,0.38,0.3939,0.94,0.1642,2,121,123
16860,16861,10,Winter,2012,Dec,7,0,1,1,2,0.38,0.3939,0.94,0.2537,3,291,294
16861,16862,10,Winter,2012,Dec,8,0,1,1,2,0.42,0.4242,1.0,0.2537,9,575,584
16862,16863,10,Winter,2012,Dec,9,0,1,1,2,0.42,0.4242,1.0,0.2239,11,273,284
12501,12502,10,Summer,2012,Jun,2,0,0,0,1,0.64,0.6061,0.69,0.1343,17,56,73
16858,16859,10,Winter,2012,Dec,5,0,1,1,2,0.38,0.3939,0.94,0.1045,0,27,27
16857,16858,10,Winter,2012,Dec,4,0,1,1,2,0.38,0.3939,0.94,0.1045,3,9,12
16856,16857,10,Winter,2012,Dec,3,0,1,1,2,0.38,0.3939,0.94,0.1045,0,4,4
16855,16856,10,Winter,2012,Dec,2,0,1,1,2,0.38,0.3939,0.94,0.1045,2,3,5
16853,16854,10,Winter,2012,Dec,0,0,1,1,3,0.36,0.3636,1.0,0.0896,0,20,20
16854,16855,10,Winter,2012,Dec,1,0,1,1,2,0.36,0.3788,1.0,0.0,0,4,4
16871,16872,10,Winter,2012,Dec,18,0,1,1,2,0.46,0.4545,0.88,0.2836,20,544,564
12521,12522,10,Summer,2012,Jun,22,0,0,0,1,0.7,0.6515,0.65,0.1642,42,117,159
14711,14712,10,Fall,2012,Sep,4,0,1,1,1,0.52,0.5,0.68,0.2836,1,4,5
14709,14710,10,Fall,2012,Sep,2,0,1,1,1,0.54,0.5152,0.6,0.3582,11,6,17
14712,14713,10,Fall,2012,Sep,5,0,1,1,1,0.5,0.4848,0.72,0.2537,4,36,40
16873,16874,10,Winter,2012,Dec,20,0,1,1,1,0.46,0.4545,0.88,0.2537,13,287,300
16867,16868,10,Winter,2012,Dec,14,0,1,1,2,0.5,0.4848,0.94,0.2239,31,179,210
16868,16869,10,Winter,2012,Dec,15,0,1,1,2,0.5,0.4848,0.87,0.1642,29,207,236
16869,16870,10,Winter,2012,Dec,16,0,1,1,2,0.5,0.4848,0.88,0.1045,37,308,345
16870,16871,10,Winter,2012,Dec,17,0,1,1,2,0.48,0.4697,0.82,0.2836,38,578,616
16872,16873,10,Winter,2012,Dec,19,0,1,1,1,0.52,0.5,0.77,0.2836,18,409,427
16874,16875,10,Winter,2012,Dec,21,0,1,1,2,0.46,0.4545,0.94,0.194,21,224,245
16875,16876,10,Winter,2012,Dec,22,0,1,1,2,0.5,0.4848,0.82,0.2239,11,115,126
16876,16877,10,Winter,2012,Dec,23,0,1,1,1,0.46,0.4545,0.88,0.2537,8,76,84
12500,12501,10,Summer,2012,Jun,1,0,0,0,1,0.64,0.6061,0.73,0.1343,32,84,116
14710,14711,10,Fall,2012,Sep,3,0,1,1,1,0.52,0.5,0.68,0.2836,5,7,12
8128,8129,10,Winter,2011,Dec,8,0,6,0,1,0.26,0.2727,0.65,0.1343,5,68,73
8129,8130,10,Winter,2011,Dec,9,0,6,0,1,0.28,0.2576,0.61,0.2836,15,134,149
8125,8126,10,Winter,2011,Dec,5,0,6,0,1,0.26,0.2576,0.6,0.1642,0,6,6
10313,10314,10,Spring,2012,Mar,19,0,6,0,1,0.34,0.3636,0.25,0.0,25,159,184
10314,10315,10,Spring,2012,Mar,20,0,6,0,1,0.32,0.3333,0.33,0.1343,20,101,121
10315,10316,10,Spring,2012,Mar,21,0,6,0,1,0.3,0.2879,0.39,0.2239,16,94,110
10316,10317,10,Spring,2012,Mar,22,0,6,0,1,0.26,0.2576,0.44,0.1642,19,81,100
4487,4488,10,Fall,2011,Jul,21,0,0,0,1,0.74,0.6818,0.62,0.2537,65,162,227
14730,14731,10,Fall,2012,Sep,23,0,1,1,1,0.54,0.5152,0.52,0.0,7,86,93
4474,4475,10,Fall,2011,Jul,8,0,0,0,1,0.72,0.6818,0.66,0.0,27,65,92
4472,4473,10,Fall,2011,Jul,6,0,0,0,1,0.64,0.5909,0.78,0.0896,8,17,25
4466,4467,10,Fall,2011,Jul,0,0,0,0,1,0.7,0.6515,0.61,0.1642,42,112,154
14729,14730,10,Fall,2012,Sep,22,0,1,1,1,0.54,0.5152,0.52,0.1343,15,144,159
14728,14729,10,Fall,2012,Sep,21,0,1,1,1,0.56,0.5303,0.49,0.1642,29,256,285
14727,14728,10,Fall,2012,Sep,20,0,1,1,1,0.6,0.6212,0.4,0.194,34,356,390
10312,10313,10,Spring,2012,Mar,18,0,6,0,1,0.36,0.3636,0.21,0.0896,67,230,297
14726,14727,10,Fall,2012,Sep,19,0,1,1,1,0.62,0.6212,0.38,0.2985,71,562,633
14724,14725,10,Fall,2012,Sep,17,0,1,1,1,0.66,0.6212,0.34,0.3284,127,744,871
14723,14724,10,Fall,2012,Sep,16,0,1,1,1,0.66,0.6212,0.34,0.3284,108,380,488
10317,10318,10,Spring,2012,Mar,23,0,6,0,1,0.26,0.2576,0.41,0.194,6,77,83
4473,4474,10,Fall,2011,Jul,7,0,0,0,1,0.7,0.6515,0.7,0.0896,27,38,65
14722,14723,10,Fall,2012,Sep,15,0,1,1,1,0.66,0.6212,0.31,0.3881,115,231,346
4489,4490,10,Fall,2011,Jul,23,0,0,0,1,0.72,0.6818,0.66,0.2537,19,53,72
4486,4487,10,Fall,2011,Jul,20,0,0,0,1,0.76,0.697,0.55,0.194,101,167,268
4476,4477,10,Fall,2011,Jul,10,0,0,0,1,0.76,0.697,0.55,0.1343,95,173,268
4477,4478,10,Fall,2011,Jul,11,0,0,0,1,0.78,0.7273,0.55,0.194,110,177,287
4478,4479,10,Fall,2011,Jul,12,0,0,0,1,0.82,0.7576,0.46,0.2836,133,244,377
4479,4480,10,Fall,2011,Jul,13,0,0,0,1,0.8,0.7273,0.46,0.2985,139,228,367
4480,4481,10,Fall,2011,Jul,14,0,0,0,1,0.82,0.7424,0.41,0.3284,122,227,349
14725,14726,10,Fall,2012,Sep,18,0,1,1,1,0.62,0.6212,0.35,0.2985,111,857,968
10311,10312,10,Spring,2012,Mar,17,0,6,0,1,0.36,0.3788,0.23,0.0,104,250,354
10310,10311,10,Spring,2012,Mar,16,0,6,0,1,0.36,0.3636,0.23,0.0,115,275,390
10309,10310,10,Spring,2012,Mar,15,0,6,0,1,0.34,0.3636,0.25,0.0,132,274,406
8124,8125,10,Winter,2011,Dec,4,0,6,0,2,0.26,0.2727,0.65,0.1045,0,3,3
8143,8144,10,Winter,2011,Dec,23,0,6,0,1,0.2,0.2121,0.47,0.1642,5,61,66
8142,8143,10,Winter,2011,Dec,22,0,6,0,1,0.22,0.2273,0.41,0.1343,7,88,95
8141,8142,10,Winter,2011,Dec,21,0,6,0,1,0.22,0.2121,0.44,0.2239,4,79,83
4469,4470,10,Fall,2011,Jul,3,0,0,0,1,0.66,0.6212,0.74,0.0896,6,19,25
4470,4471,10,Fall,2011,Jul,4,0,0,0,1,0.66,0.6212,0.69,0.0896,0,5,5
4471,4472,10,Fall,2011,Jul,5,0,0,0,1,0.66,0.6212,0.74,0.0,7,10,17
8130,8131,10,Winter,2011,Dec,10,0,6,0,1,0.32,0.303,0.57,0.2537,31,161,192
8137,8138,10,Winter,2011,Dec,17,0,6,0,1,0.28,0.2576,0.36,0.3284,34,151,185
8131,8132,10,Winter,2011,Dec,11,0,6,0,1,0.32,0.2879,0.53,0.4179,44,192,236
8132,8133,10,Winter,2011,Dec,12,0,6,0,1,0.32,0.2879,0.45,0.4179,48,235,283
8133,8134,10,Winter,2011,Dec,13,0,6,0,1,0.34,0.303,0.34,0.4179,47,239,286
8134,8135,10,Winter,2011,Dec,14,0,6,0,1,0.34,0.303,0.31,0.3284,51,242,293
8135,8136,10,Winter,2011,Dec,15,0,6,0,1,0.34,0.303,0.34,0.3582,60,239,299
8136,8137,10,Winter,2011,Dec,16,0,6,0,1,0.32,0.2879,0.31,0.3881,58,183,241
8138,8139,10,Winter,2011,Dec,18,0,6,0,1,0.26,0.2576,0.38,0.2239,28,144,172
8139,8140,10,Winter,2011,Dec,19,0,6,0,1,0.26,0.2424,0.38,0.2836,15,139,154
8140,8141,10,Winter,2011,Dec,20,0,6,0,1,0.24,0.2273,0.35,0.2239,10,114,124
4468,4469,10,Fall,2011,Jul,2,0,0,0,1,0.68,0.6364,0.69,0.0896,28,68,96
4467,4468,10,Fall,2011,Jul,1,0,0,0,1,0.7,0.6515,0.61,0.1343,19,94,113
8123,8124,10,Winter,2011,Dec,3,0,6,0,2,0.28,0.303,0.61,0.0896,5,20,25
8122,8123,10,Winter,2011,Dec,2,0,6,0,2,0.28,0.303,0.61,0.0896,12,48,60
8120,8121,10,Winter,2011,Dec,0,0,6,0,2,0.26,0.2727,0.81,0.1045,11,66,77
8121,8122,10,Winter,2011,Dec,1,0,6,0,2,0.26,0.2576,0.7,0.1642,11,55,66
10305,10306,10,Spring,2012,Mar,11,0,6,0,1,0.3,0.2727,0.33,0.3284,56,218,274
10307,10308,10,Spring,2012,Mar,13,0,6,0,1,0.32,0.303,0.29,0.2836,89,268,357
10308,10309,10,Spring,2012,Mar,14,0,6,0,1,0.34,0.3182,0.27,0.2836,117,262,379
10304,10305,10,Spring,2012,Mar,10,0,6,0,1,0.26,0.2273,0.35,0.4179,47,176,223
1569,1570,10,Spring,2011,Mar,20,0,4,1,3,0.36,0.3333,0.0,0.3284,9,29,38
1567,1568,10,Spring,2011,Mar,18,0,4,1,3,0.44,0.4394,0.0,0.3582,2,80,82
1571,1572,10,Spring,2011,Mar,22,0,4,1,2,0.34,0.3333,0.0,0.1343,4,30,34
5218,5219,10,Fall,2011,Aug,8,0,3,1,1,0.74,0.6667,0.51,0.194,38,361,399
5233,5234,10,Fall,2011,Aug,23,0,3,1,1,0.74,0.6515,0.37,0.0896,14,94,108
5232,5233,10,Fall,2011,Aug,22,0,3,1,1,0.74,0.6515,0.37,0.0,17,122,139
5231,5232,10,Fall,2011,Aug,21,0,3,1,1,0.76,0.6667,0.33,0.1045,47,162,209
5230,5231,10,Fall,2011,Aug,20,0,3,1,1,0.76,0.6667,0.31,0.1343,59,253,312
5229,5230,10,Fall,2011,Aug,19,0,3,1,1,0.8,0.697,0.26,0.2537,79,334,413
5228,5229,10,Fall,2011,Aug,18,0,3,1,1,0.82,0.7121,0.28,0.2985,70,489,559
5227,5228,10,Fall,2011,Aug,17,0,3,1,1,0.84,0.7121,0.26,0.2985,71,513,584
5226,5227,10,Fall,2011,Aug,16,0,3,1,1,0.86,0.7424,0.26,0.2985,76,206,282
7407,7408,10,Winter,2011,Nov,6,0,4,1,2,0.36,0.3485,1.0,0.1343,4,110,114
7406,7407,10,Winter,2011,Nov,5,0,4,1,2,0.36,0.3485,1.0,0.1343,1,22,23
5219,5220,10,Fall,2011,Aug,9,0,3,1,1,0.76,0.6818,0.48,0.2239,32,148,180
7404,7405,10,Winter,2011,Nov,3,0,4,1,1,0.38,0.3939,0.94,0.0896,0,11,11
7403,7404,10,Winter,2011,Nov,2,0,4,1,2,0.38,0.3939,0.94,0.0,0,5,5
7402,7403,10,Winter,2011,Nov,1,0,4,1,2,0.4,0.4091,0.87,0.0,1,10,11
7401,7402,10,Winter,2011,Nov,0,0,4,1,1,0.4,0.4091,0.87,0.0,0,24,24
15429,15430,10,Winter,2012,Oct,2,0,3,1,2,0.46,0.4545,0.88,0.0,2,6,8
15428,15429,10,Winter,2012,Oct,1,0,3,1,2,0.46,0.4545,0.88,0.0,2,6,8
15427,15428,10,Winter,2012,Oct,0,0,3,1,2,0.46,0.4545,0.88,0.0896,0,33,33
15435,15436,10,Winter,2012,Oct,8,0,3,1,1,0.5,0.4848,0.77,0.1642,33,806,839
15434,15435,10,Winter,2012,Oct,7,0,3,1,1,0.46,0.4545,0.82,0.1045,9,498,507
15433,15434,10,Winter,2012,Oct,6,0,3,1,2,0.46,0.4545,0.88,0.0896,3,172,175
15432,15433,10,Winter,2012,Oct,5,0,3,1,2,0.46,0.4545,0.88,0.0896,2,38,40
15431,15432,10,Winter,2012,Oct,4,0,3,1,2,0.46,0.4545,0.88,0.1045,0,6,6
7405,7406,10,Winter,2011,Nov,4,0,4,1,1,0.38,0.3939,0.94,0.0896,1,2,3
5220,5221,10,Fall,2011,Aug,10,0,3,1,1,0.8,0.7273,0.43,0.2239,41,72,113
5221,5222,10,Fall,2011,Aug,11,0,3,1,1,0.8,0.7121,0.41,0.3881,54,95,149
5211,5212,10,Fall,2011,Aug,1,0,3,1,1,0.72,0.6667,0.54,0.194,7,10,17
2300,2301,10,Summer,2011,Apr,17,0,0,0,2,0.52,0.5,0.72,0.194,84,152,236
7416,7417,10,Winter,2011,Nov,15,0,4,1,3,0.36,0.3333,0.81,0.2985,5,57,62
7418,7419,10,Winter,2011,Nov,17,0,4,1,3,0.36,0.3485,0.81,0.2239,9,168,177
7424,7425,10,Winter,2011,Nov,23,0,4,1,2,0.34,0.3333,0.57,0.1642,9,73,82
7423,7424,10,Winter,2011,Nov,22,0,4,1,1,0.36,0.3333,0.53,0.2836,5,84,89
7422,7423,10,Winter,2011,Nov,21,0,4,1,1,0.36,0.3333,0.57,0.2537,6,130,136
1570,1571,10,Spring,2011,Mar,21,0,4,1,3,0.36,0.3485,0.0,0.2239,1,27,28
7420,7421,10,Winter,2011,Nov,19,0,4,1,2,0.36,0.3485,0.71,0.2239,19,192,211
2301,2302,10,Summer,2011,Apr,18,0,0,0,1,0.5,0.4848,0.77,0.194,103,137,240
